                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.536,                 1.2147,                 1.0561,                0.41963,                0.26394,                0.25604,                0.14629,                 1.4622,                  1.124,                  1.064,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.5292,                 1.2107,                 1.0536,                0.42018,                0.26573,                0.25737,                0.14713,                 1.4577,                 1.1226,                 1.0607,               0.009109,               0.009109,               0.009109
                     47,                 1.5352,                 1.2112,                 1.0537,                0.43421,                0.26811,                0.25708,                0.14765,                 1.4576,                  1.118,                 1.0613,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.5217,                 1.1973,                 1.0499,                0.42227,                0.26549,                0.25871,                0.14789,                 1.4582,                 1.1184,                 1.0594,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.5252,                 1.2011,                 1.0503,                0.41289,                0.27219,                0.26048,                0.14996,                 1.4563,                 1.1162,                 1.0591,              0.0090496,              0.0090496,              0.0090496
                     50,                  1.524,                  1.196,                 1.0498,                0.43262,                0.26535,                0.26181,                 0.1503,                 1.4496,                 1.1038,                 1.0568,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.5283,                 1.1988,                 1.0493,                0.42147,                0.26916,                0.25944,                0.14965,                 1.4519,                 1.1147,                 1.0578,                0.00901,                0.00901,                0.00901
                     52,                 1.5223,                 1.1953,                 1.0484,                0.33818,                0.27663,                0.26409,                0.15139,                 1.4478,                 1.1082,                 1.0572,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.5249,                 1.1933,                 1.0496,                0.43248,                0.27024,                0.26572,                0.15252,                 1.4466,                  1.098,                 1.0561,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.5186,                 1.1905,                 1.0482,                0.33642,                0.27825,                0.26673,                0.15402,                 1.4419,                 1.1032,                 1.0553,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.5162,                 1.1873,                 1.0496,                0.33081,                0.27835,                0.26578,                0.15353,                 1.4478,                 1.1072,                 1.0582,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.5129,                 1.1882,                 1.0411,                0.41694,                0.28436,                 0.2733,                0.15879,                 1.4392,                 1.0977,                 1.0536,               0.008911,               0.008911,               0.008911
                     57,                   1.51,                  1.179,                 1.0441,                0.34379,                0.28719,                0.26805,                0.15452,                 1.4409,                 1.0944,                 1.0542,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.5106,                 1.1822,                 1.0453,                0.35441,                 0.2734,                0.26669,                0.15368,                 1.4404,                  1.099,                  1.053,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.5033,                 1.1733,                 1.0415,                0.44633,                0.26752,                0.26602,                 0.1534,                 1.4382,                 1.0952,                 1.0501,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.5051,                  1.174,                 1.0434,                0.35497,                0.27639,                0.27256,                0.15795,                 1.4331,                 1.0884,                 1.0501,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.5034,                 1.1692,                 1.0431,                0.43008,                0.27783,                0.26929,                0.15611,                  1.434,                 1.0921,                 1.0489,               0.008812,               0.008812,               0.008812
                     62,                 1.4942,                 1.1573,                  1.036,                0.34473,                0.29242,                0.27236,                0.15811,                 1.4325,                 1.0876,                  1.049,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.4973,                 1.1642,                 1.0399,                0.38201,                0.29096,                0.27641,                0.16048,                 1.4297,                 1.0807,                 1.0484,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.4877,                 1.1642,                 1.0381,                0.37227,                0.29016,                0.27589,                0.16073,                 1.4235,                   1.08,                 1.0472,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.4984,                 1.1605,                 1.0391,                0.38164,                0.28647,                0.27587,                0.16047,                 1.4256,                 1.0793,                 1.0483,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.4944,                 1.1566,                 1.0358,                  0.361,                0.29044,                 0.2801,                0.16299,                 1.4274,                 1.0815,                  1.047,               0.008713,               0.008713,               0.008713
                     67,                 1.4858,                 1.1522,                  1.036,                0.39379,                  0.294,                0.27911,                0.16197,                 1.4209,                 1.0775,                 1.0455,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.4945,                 1.1561,                 1.0374,                0.34954,                0.28727,                0.27712,                0.16071,                 1.4192,                 1.0759,                 1.0459,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.4825,                 1.1467,                 1.0349,                0.37527,                0.28705,                0.27852,                0.16227,                 1.4193,                 1.0722,                 1.0433,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.4869,                 1.1533,                 1.0343,                0.38106,                0.29635,                0.28106,                0.16416,                 1.4179,                 1.0734,                 1.0435,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.4807,                 1.1434,                 1.0362,                 0.4447,                0.28643,                0.28109,                0.16369,                  1.415,                 1.0703,                 1.0425,               0.008614,               0.008614,               0.008614
                     72,                 1.4842,                 1.1444,                 1.0325,                0.40197,                0.28368,                 0.2826,                 0.1653,                 1.4158,                 1.0694,                  1.043,              0.0085942,              0.0085942,              0.0085942
